iter	Passed	Remaining
0	0	98
1	1	91
2	2	92
3	3	91
4	4	90
5	5	90
6	6	89
7	7	87
8	8	87
9	10	94
10	11	93
11	12	91
12	13	90
13	14	88
14	15	86
15	16	85
16	17	83
17	18	82
18	19	81
19	20	80
20	21	81
21	23	82
22	24	81
23	25	80
24	26	80
25	28	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	42	68
38	43	67
39	44	66
40	45	65
41	46	64
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	53	58
48	54	57
49	56	56
50	57	54
51	58	54
52	60	53
53	62	52
54	63	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	72	42
63	74	41
64	75	40
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	86	30
74	88	29
75	89	28
76	90	26
77	91	25
78	92	24
79	92	23
80	93	22
81	94	20
82	96	19
83	97	18
84	100	17
85	102	16
86	103	15
87	104	14
88	105	12
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
